id,text,refined_tweets,in_reply_to_user,ids_intweets,original_tweets
966177138029232128,b'Why did they give you your name? https://t.co/JGVQLuHWYy',whi give name,,[],whi give name
957617798771077120,"b'Power doesn\xe2\x80\x99t corrupt , it shows one\xe2\x80\x99s true colours !! https://t.co/CfLjiw4vsv'",power corrupt show one true colour,,[],power corrupt show one true colour
951001397746597888,"b'At a very young age, I was told that I will have to drop our of my career for my family -- when I had not even... https://t.co/JAybEK0MIT'",At young age I told I drop career famili I even,,[],At young age I told I drop career famili I even
945923990140448769,"b""So here is my resolution for 2018.. Listening to Podcasts... and I will be starting with Corine R. Sandifer's... https://t.co/dovdGnrxAJ""",So resolut listen podcast I start corin R sandif,,[],So resolut listen podcast I start corin R sandif
945598318335414272,b'We are seeking applications for social media managers for Lean In India.\nThe responsibilities will include:\n1.... https://t.co/4r9gBgh96D',We seek applic social medium manag lean In india the respons includ,,[],We seek applic social medium manag lean In india the respons includ
945195450763763712,b'Merry Christmas :) https://t.co/EM1htXzoja',merri christma,,[],merri christma
944500451382366208,b'Giving a talk on improving networking skills at GDD Extended Delhi https://t.co/ertDWyqgLV',give talk improv network skill gdd extend delhi,,[],give talk improv network skill gdd extend delhi
943538350018973702,b'I\xe2\x80\x99m excited to share that I will be giving a talk on \xe2\x80\x9cGetting out of your comfort zone and improving your... https://t.co/foA2b54nq0',I excit share I give talk get comfort zone improv,,[],I excit share I give talk get comfort zone improv
943459872120754177,b'Lean In India is looking for volunteers who have basic technical knowledge and are passionate about creating a... https://t.co/amyPpJKOfa',lean In india look volunt basic technic knowledg passion creat,,[],lean In india look volunt basic technic knowledg passion creat
937964964450635777,b'Mumbai Folks !! Lean In India is coming near you on 9th December 2017. Register here... https://t.co/Gg7Io9ib4S',mumbai folk lean In india come near decemb regist,,[],mumbai folk lean In india come near decemb regist
933728619741847552,"b'Although it\xe2\x80\x99s not an Indian festival , but apparently saying thank you is my (bad) habit. Thinking of my family,... https://t.co/bT1ljtszwX'",although indian festiv appar say thank bad habit think famili,,[],although indian festiv appar say thank bad habit think famili
933718376484020224,b'Happy Thanksgiving !! :) https://t.co/rYrxjNcTp6',happi thanksgiv,,[],happi thanksgiv
933414415902240768,b'https://t.co/JlQgTuo5TR',,,[],
932848677185519616,b'https://t.co/oOhre5zpu6',,,[],
931060811644178432,"b'Akanksha Gupta, Deepika Aggarwal, Preethi Guruswamy, Manasvi Duggal, KeSha Shah, Vaibhavi H Desai.. all of you... https://t.co/YVrLxhBW1I'",akanksha gupta deepika aggarw preethi guruswami manasvi duggal kesha shah vaibhavi H desai,,[],akanksha gupta deepika aggarw preethi guruswami manasvi duggal kesha shah vaibhavi H desai
